indicator,an,valoare,
Număr de pasageri,2007-01-01T00:00:00,83458,
Număr de pasageri,2008-01-01T00:00:00,890704,
Număr de pasageri,2009-01-01T00:00:00,973873,
Număr de pasageri,2010-01-01T00:00:00,1135943,
Număr de pasageri,2011-01-01T00:00:00,1200765,
Număr de pasageri,2012-01-01T00:00:00,1038410,
Număr de pasageri,2013-01-01T00:00:00,754454,
Număr de pasageri,2014-01-01T00:00:00,734568,
Număr de pasageri,2015-01-01T00:00:00,923570,
Număr de pasageri,2016-01-01T00:00:00,1160167,
Număr de pasageri,2017-01-01T00:00:00,1621529,
Număr de pasageri,2018-01-01T00:00:00,1517309,
Număr de pasageri,2019-01-01T00:00:00,1595012,
Număr de pasageri,2020-01-01T00:00:00,470631,
Număr total mărfuri transport aerian (tone cargo),2007-01-01T00:00:00,921,
Număr total mărfuri transport aerian (tone cargo),2008-01-01T00:00:00,1192,
Număr total mărfuri transport aerian (tone cargo),2009-01-01T00:00:00,1097,
Număr total mărfuri transport aerian (tone cargo),2010-01-01T00:00:00,1455,
Număr total mărfuri transport aerian (tone cargo),2011-01-01T00:00:00,1313,
Număr total mărfuri transport aerian (tone cargo),2012-01-01T00:00:00,1464,
Număr total mărfuri transport aerian (tone cargo),2013-01-01T00:00:00,1609,
Număr total mărfuri transport aerian (tone cargo),2014-01-01T00:00:00,1898,
Număr total mărfuri transport aerian (tone cargo),2015-01-01T00:00:00,2595,
Număr total mărfuri transport aerian (tone cargo),2016-01-01T00:00:00,3869,
Număr total mărfuri transport aerian (tone cargo),2017-01-01T00:00:00,4586,
Număr total mărfuri transport aerian (tone cargo),2018-01-01T00:00:00,5934,
Număr total mărfuri transport aerian (tone cargo),2019-01-01T00:00:00,5167,
Număr total mărfuri transport aerian (tone cargo),2020-01-01T00:00:00,5148,
Miscari aeronave (operațiuni de aterizări& decolări,2007-01-01T00:00:00,25426,
Miscari aeronave (operațiuni de aterizări& decolări,2008-01-01T00:00:00,24798,
Miscari aeronave (operațiuni de aterizări& decolări,2009-01-01T00:00:00,24839,
Miscari aeronave (operațiuni de aterizări& decolări,2010-01-01T00:00:00,25848,
Miscari aeronave (operațiuni de aterizări& decolări,2011-01-01T00:00:00,23215,
Miscari aeronave (operațiuni de aterizări& decolări,2012-01-01T00:00:00,19002,
Miscari aeronave (operațiuni de aterizări& decolări,2013-01-01T00:00:00,14190,
Miscari aeronave (operațiuni de aterizări& decolări,2014-01-01T00:00:00,10255,
Miscari aeronave (operațiuni de aterizări& decolări,2015-01-01T00:00:00,11997,
Miscari aeronave (operațiuni de aterizări& decolări,2016-01-01T00:00:00,14158,
Miscari aeronave (operațiuni de aterizări& decolări,2017-01-01T00:00:00,17808,
Miscari aeronave (operațiuni de aterizări& decolări,2018-01-01T00:00:00,17224,
Miscari aeronave (operațiuni de aterizări& decolări,2019-01-01T00:00:00,17476,
Miscari aeronave (operațiuni de aterizări& decolări,2020-01-01T00:00:00,10180,
